zip,city,county,state,latitude,longitude,source
11755,Lake Grove,Suffolk,NY,40.8567,-73.1168,geonames
11756,Levittown,Nassau,NY,40.7254,-73.5166,geonames
11757,Lindenhurst,Suffolk,NY,40.6884,-73.3745,geonames
11758,Massapequa,Nassau,NY,40.6682,-73.4588,geonames
11760,Melville,Suffolk,NY,40.7934,-73.4151,geonames
11762,Massapequa Park,Nassau,NY,40.6807,-73.4444,geonames
11763,Medford,Suffolk,NY,40.8174,-72.9852,geonames
11764,Miller Place,Suffolk,NY,40.9436,-72.9913,geonames
11765,Mill Neck,Nassau,NY,40.8857,-73.5526,geonames
11766,Mount Sinai,Suffolk,NY,40.9271,-73.0127,geonames
11767,Nesconset,Suffolk,NY,40.8462,-73.1482,geonames
11768,Northport,Suffolk,NY,40.9051,-73.3309,geonames
11769,Oakdale,Suffolk,NY,40.7382,-73.1297,geonames
11770,Ocean Beach,Suffolk,NY,40.6443,-73.1613,geonames
11771,Oyster Bay,Nassau,NY,40.8660,-73.5272,geonames
11772,Patchogue,Suffolk,NY,40.7609,-72.9871,geonames
11773,Syosset,Nassau,NY,40.8262,-73.5021,geonames
11775,Melville,Suffolk,NY,40.7934,-73.4151,geonames
11776,Port Jefferson Station,Suffolk,NY,40.9136,-73.0464,geonames
11777,Port Jefferson,Suffolk,NY,40.9457,-73.0611,geonames
11778,Rocky Point,Suffolk,NY,40.9492,-72.9357,geonames
11779,Ronkonkoma,Suffolk,NY,40.8083,-73.1305,geonames
11780,Saint James,Suffolk,NY,40.8813,-73.1591,geonames
11782,Sayville,Suffolk,NY,40.7459,-73.0859,geonames
11783,Seaford,Nassau,NY,40.6795,-73.4910,geonames
11784,Selden,Suffolk,NY,40.8699,-73.0448,geonames
11786,Shoreham,Suffolk,NY,40.9485,-72.8927,geonames
11787,Smithtown,Suffolk,NY,40.8542,-73.2138,geonames
11788,Hauppauge,Suffolk,NY,40.8231,-73.1958,geonames
11789,Sound Beach,Suffolk,NY,40.9567,-72.9742,geonames
11790,Stony Brook,Suffolk,NY,40.9068,-73.1277,geonames
11791,Syosset,Nassau,NY,40.8146,-73.5024,geonames
11792,Wading River,Suffolk,NY,40.9520,-72.8348,geonames
11793,Wantagh,Nassau,NY,40.6850,-73.5103,geonames
11794,Stony Brook,Suffolk,NY,40.9257,-73.1409,geonames
11795,West Islip,Suffolk,NY,40.7117,-73.3007,geonames
11796,West Sayville,Suffolk,NY,40.7320,-73.1000,geonames
11797,Woodbury,Nassau,NY,40.8154,-73.4716,geonames
11798,Wyandanch,Suffolk,NY,40.7523,-73.3761,geonames
11801,Hicksville,Nassau,NY,40.7623,-73.5230,geonames
11802,Hicksville,Nassau,NY,40.7684,-73.5251,geonames
11803,Plainview,Nassau,NY,40.7781,-73.4816,geonames
11804,Old Bethpage,Nassau,NY,40.7650,-73.4575,geonames
11815,Hicksville,Nassau,NY,40.7548,-73.6018,geonames
11819,Hicksville,Nassau,NY,40.7684,-73.5251,geonames
11853,Jericho,Nassau,NY,40.7920,-73.5398,geonames
11901,Riverhead,Suffolk,NY,40.9262,-72.6520,geonames
11930,Amagansett,Suffolk,NY,40.9895,-72.0959,geonames
11931,Aquebogue,Suffolk,NY,40.9445,-72.6270,geonames
11932,Bridgehampton,Suffolk,NY,40.9339,-72.3077,geonames
11933,Calverton,Suffolk,NY,40.9297,-72.7423,geonames
11934,Center Moriches,Suffolk,NY,40.7997,-72.7970,geonames
11935,Cutchogue,Suffolk,NY,41.0139,-72.4803,geonames
11937,East Hampton,Suffolk,NY,40.9930,-72.1790,geonames
11939,East Marion,Suffolk,NY,41.1264,-72.3419,geonames
11940,East Moriches,Suffolk,NY,40.8090,-72.7538,geonames
11941,Eastport,Suffolk,NY,40.8297,-72.7283,geonames
11942,East Quogue,Suffolk,NY,40.8428,-72.5813,geonames
11944,Greenport,Suffolk,NY,41.1039,-72.3674,geonames
11946,Hampton Bays,Suffolk,NY,40.8726,-72.5202,geonames
11947,Jamesport,Suffolk,NY,40.9495,-72.5815,geonames
11948,Laurel,Suffolk,NY,40.9674,-72.5540,geonames
11949,Manorville,Suffolk,NY,40.8421,-72.8002,geonames
11950,Mastic,Suffolk,NY,40.8064,-72.8566,geonames
11951,Mastic Beach,Suffolk,NY,40.7657,-72.8537,geonames
11952,Mattituck,Suffolk,NY,40.9943,-72.5363,geonames
11953,Middle Island,Suffolk,NY,40.8782,-72.9525,geonames
11954,Montauk,Suffolk,NY,41.0459,-71.9440,geonames
11955,Moriches,Suffolk,NY,40.8095,-72.8229,geonames
11956,New Suffolk,Suffolk,NY,40.9915,-72.4759,geonames
11957,Orient,Suffolk,NY,41.1437,-72.2879,geonames
11958,Peconic,Suffolk,NY,41.0392,-72.4666,geonames
11959,Quogue,Suffolk,NY,40.8226,-72.6012,geonames
11960,Remsenburg,Suffolk,NY,40.8086,-72.7064,geonames
11961,Ridge,Suffolk,NY,40.9018,-72.8881,geonames
11962,Sagaponack,Suffolk,NY,40.9305,-72.2707,geonames
11963,Sag Harbor,Suffolk,NY,40.9820,-72.3067,geonames
11964,Shelter Island,Suffolk,NY,41.0640,-72.3366,geonames
11965,Shelter Island Heights,Suffolk,NY,41.0840,-72.3559,geonames
11967,Shirley,Suffolk,NY,40.8015,-72.8676,geonames
11968,Southampton,Suffolk,NY,40.9043,-72.4103,geonames
11969,Southampton,Suffolk,NY,40.8843,-72.3895,geonames
11970,South Jamesport,Suffolk,NY,40.9365,-72.5773,geonames
11971,Southold,Suffolk,NY,41.0555,-72.4290,geonames
11972,Speonk,Suffolk,NY,40.8195,-72.7054,geonames
11973,Upton,Suffolk,NY,40.8678,-72.8822,geonames
11975,Wainscott,Suffolk,NY,40.9396,-72.2425,geonames
11976,Water Mill,Suffolk,NY,40.9209,-72.3491,geonames
11977,Westhampton,Suffolk,NY,40.8180,-72.6699,geonames
11978,Westhampton Beach,Suffolk,NY,40.8295,-72.6473,geonames
11980,Yaphank,Suffolk,NY,40.8370,-72.9174,geonames
12007,Alcove,Albany,NY,42.4561,-73.9277,geonames
12008,Alplaus,Schenectady,NY,42.8573,-73.9002,geonames
12009,Altamont,Albany,NY,42.7063,-74.0193,geonames
12010,Amsterdam,Montgomery,NY,42.9387,-74.1882,geonames
12015,Athens,Greene,NY,42.2736,-73.8152,geonames
12016,Auriesville,Montgomery,NY,42.9295,-74.3165,geonames
12017,Austerlitz,Columbia,NY,42.3223,-73.4550,geonames
12018,Averill Park,Rensselaer,NY,42.6365,-73.5504,geonames
12019,Ballston Lake,Saratoga,NY,42.9192,-73.8552,geonames
12020,Ballston Spa,Saratoga,NY,43.0050,-73.8486,geonames
12022,Berlin,Rensselaer,NY,42.6919,-73.3702,geonames
12023,Berne,Albany,NY,42.6108,-74.1466,geonames
12024,Brainard,Rensselaer,NY,42.4950,-73.5107,geonames
12025,Broadalbin,Fulton,NY,43.0727,-74.1684,geonames
12027,Burnt Hills,Saratoga,NY,42.9329,-73.8960,geonames
12028,Buskirk,Rensselaer,NY,42.9601,-73.4497,geonames
12029,Canaan,Columbia,NY,42.4132,-73.4159,geonames
12031,Carlisle,Schoharie,NY,42.7648,-74.4569,geonames
12032,Caroga Lake,Fulton,NY,43.1922,-74.5169,geonames
12033,Castleton On Hudson,Rensselaer,NY,42.5376,-73.7071,geonames
12035,Central Bridge,Schoharie,NY,42.7370,-74.3451,geonames
12036,Charlotteville,Schoharie,NY,42.5330,-74.6819,geonames
12037,Chatham,Columbia,NY,42.3496,-73.5873,geonames
12040,Cherry Plain,Rensselaer,NY,42.6467,-73.3716,geonames
12041,Clarksville,Albany,NY,42.5759,-73.9640,geonames
12042,Climax,Greene,NY,42.3659,-73.8510,geonames
12043,Cobleskill,Schoharie,NY,42.6840,-74.4939,geonames
12045,Coeymans,Albany,NY,42.4757,-73.7977,geonames
12046,Coeymans Hollow,Albany,NY,42.4865,-73.9206,geonames
12047,Cohoes,Albany,NY,42.7754,-73.7124,geonames
12050,Columbiaville,Columbia,NY,42.3172,-73.7486,geonames
